1. Matches(date=7:1:2022, team1=FC Bayern Munich, team2=Borussia Monchengladbach, result=1:02, watchers=NULL, stadium=NULL)
212. Matches(date=17:9:2022, team1=Stuttgart, team2=Eintracht Frankfurt, result=1:03, watchers=47500, stadium=Mercedes-Benz Arena)
213. Matches(date=17:9:2022, team1=Borussia Monchengladbach, team2=RB Leipzig, result=3:00, watchers=50186, stadium=Borussia-Park)
214. Matches(date=18:9:2022, team1=1. FC Union Berlin, team2=VfL Wolfsburg, result=2:00, watchers=22012, stadium=Stadion An der Alten Försterei)
215. Matches(date=18:9:2022, team1=VfL Bochum, team2=1. FC Cologne, result=1:01, watchers=25800, stadium=Vonovia Ruhrstadion)
216. Matches(date=18:9:2022, team1=TSG 1899 Hoffenheim, team2=Freiburg, result=0:00, watchers=24233, stadium=PreZero Arena)
217. Matches(date=30:9:2022, team1=FC Bayern Munich, team2=Bayer 04 Leverkusen, result=4:00, watchers=75000, stadium=Allianz Arena)
218. Matches(date=1:10:2022, team1=VfL Wolfsburg, team2=Stuttgart, result=3:02, watchers=24125, stadium=Volkswagen Arena)
219. Matches(date=1:10:2022, team1=1. FC Cologne, team2=Borussia Dortmund, result=3:02, watchers=50000, stadium=RheinEnergieSTADION)
220. Matches(date=1:10:2022, team1=Freiburg, team2=1. FSV Mainz 05, result=2:01, watchers=34700, stadium=Europa-Park Stadion)
221. Matches(date=1:10:2022, team1=Eintracht Frankfurt, team2=1. FC Union Berlin, result=2:00, watchers=50500, stadium=Deutsche Bank Park)
222. Matches(date=1:10:2022, team1=RB Leipzig, team2=VfL Bochum, result=4:00, watchers=44403, stadium=Red Bull Arena)
223. Matches(date=1:10:2022, team1=Werder Bremen, team2=Borussia Monchengladbach, result=5:01, watchers=42100, stadium=Weser-Stadion)
224. Matches(date=2:10:2022, team1=Hertha BSC, team2=TSG 1899 Hoffenheim, result=1:01, watchers=41653, stadium=Olympiastadion Berlin)
225. Matches(date=2:10:2022, team1=FC Schalke 04, team2=FC Augsburg, result=2:03, watchers=60328, stadium=Veltins-Arena)
226. Matches(date=7:10:2022, team1=TSG 1899 Hoffenheim, team2=Werder Bremen, result=1:02, watchers=25410, stadium=NULL)
227. Matches(date=8:10:2022, team1=1. FSV Mainz 05, team2=RB Leipzig, result=1:01, watchers=26100, stadium=NULL)
228. Matches(date=8:10:2022, team1=FC Augsburg, team2=VfL Wolfsburg, result=1:01, watchers=26220, stadium=NULL)
229. Matches(date=8:10:2022, team1=VfL Bochum, team2=Eintracht Frankfurt, result=3:00, watchers=24850, stadium=NULL)
230. Matches(date=8:10:2022, team1=Bayer 04 Leverkusen, team2=FC Schalke 04, result=4:00, watchers=30210, stadium=NULL)
231. Matches(date=8:10:2022, team1=Borussia Dortmund, team2=FC Bayern Munich, result=2:02, watchers=81365, stadium=NULL)
232. Matches(date=9:10:2022, team1=Borussia Monchengladbach, team2=1. FC Cologne, result=5:02, watchers=54042, stadium=NULL)
233. Matches(date=9:10:2022, team1=Hertha BSC, team2=Freiburg, result=2:02, watchers=40481, stadium=NULL)
234. Matches(date=9:10:2022, team1=Stuttgart, team2=1. FC Union Berlin, result=0:01, watchers=43250, stadium=NULL)
235. Matches(date=14:10:2022, team1=FC Schalke 04, team2=TSG 1899 Hoffenheim, result=0:03, watchers=59811, stadium=NULL)
236. Matches(date=15:10:2022, team1=Werder Bremen, team2=1. FSV Mainz 05, result=0:02, watchers=41000, stadium=NULL)
237. Matches(date=15:10:2022, team1=Stuttgart, team2=VfL Bochum, result=4:01, watchers=45400, stadium=NULL)
238. Matches(date=15:10:2022, team1=VfL Wolfsburg, team2=Borussia Monchengladbach, result=2:02, watchers=26701, stadium=NULL)
239. Matches(date=15:10:2022, team1=Eintracht Frankfurt, team2=Bayer 04 Leverkusen, result=5:01, watchers=49700, stadium=NULL)
240. Matches(date=15:10:2022, team1=RB Leipzig, team2=Hertha BSC, result=3:02, watchers=47069, stadium=NULL)
241. Matches(date=16:10:2022, team1=1. FC Cologne, team2=FC Augsburg, result=3:02, watchers=49000, stadium=NULL)
242. Matches(date=16:10:2022, team1=1. FC Union Berlin, team2=Borussia Dortmund, result=2:00, watchers=22012, stadium=NULL)
243. Matches(date=16:10:2022, team1=FC Bayern Munich, team2=Freiburg, result=5:00, watchers=75000, stadium=NULL)
244. Matches(date=21:10:2022, team1=1. FSV Mainz 05, team2=1. FC Cologne, result=5:00, watchers=31610, stadium=NULL)
245. Matches(date=22:10:2022, team1=TSG 1899 Hoffenheim, team2=FC Bayern Munich, result=0:02, watchers=30150, stadium=NULL)
246. Matches(date=22:10:2022, team1=Freiburg, team2=Werder Bremen, result=2:00, watchers=34700, stadium=NULL)
247. Matches(date=22:10:2022, team1=Bayer 04 Leverkusen, team2=VfL Wolfsburg, result=2:02, watchers=26294, stadium=NULL)
248. Matches(date=22:10:2022, team1=FC Augsburg, team2=RB Leipzig, result=3:03, watchers=25109, stadium=NULL)
249. Matches(date=22:10:2022, team1=Borussia Dortmund, team2=Stuttgart, result=5:00, watchers=81365, stadium=NULL)
250. Matches(date=22:10:2022, team1=Borussia Monchengladbach, team2=Eintracht Frankfurt, result=1:03, watchers=53019, stadium=NULL)
251. Matches(date=23:10:2022, team1=VfL Bochum, team2=1. FC Union Berlin, result=2:01, watchers=25460, stadium=NULL)
252. Matches(date=23:10:2022, team1=Hertha BSC, team2=FC Schalke 04, result=2:01, watchers=60165, stadium=NULL)
253. Matches(date=28:10:2022, team1=Werder Bremen, team2=Hertha BSC, result=1:00, watchers=42100, stadium=NULL)
254. Matches(date=29:10:2022, team1=Stuttgart, team2=FC Augsburg, result=2:01, watchers=46400, stadium=NULL)
255. Matches(date=29:10:2022, team1=RB Leipzig, team2=Bayer 04 Leverkusen, result=2:00, watchers=45598, stadium=NULL)
256. Matches(date=29:10:2022, team1=FC Bayern Munich, team2=1. FSV Mainz 05, result=6:02, watchers=75000, stadium=NULL)
257. Matches(date=29:10:2022, team1=VfL Wolfsburg, team2=VfL Bochum, result=4:00, watchers=24037, stadium=NULL)
258. Matches(date=29:10:2022, team1=Eintracht Frankfurt, team2=Borussia Dortmund, result=1:02, watchers=50000, stadium=NULL)
259. Matches(date=30:10:2022, team1=FC Schalke 04, team2=Freiburg, result=0:02, watchers=61115, stadium=NULL)
260. Matches(date=30:10:2022, team1=1. FC Cologne, team2=TSG 1899 Hoffenheim, result=1:01, watchers=49000, stadium=NULL)
261. Matches(date=30:10:2022, team1=1. FC Union Berlin, team2=Borussia Monchengladbach, result=2:01, watchers=22012, stadium=NULL)
262. Matches(date=4:11:2022, team1=Borussia Monchengladbach, team2=Stuttgart, result=3:01, watchers=53178, stadium=NULL)
263. Matches(date=5:11:2022, team1=Hertha BSC, team2=FC Bayern Munich, result=2:03, watchers=74667, stadium=NULL)
264. Matches(date=5:11:2022, team1=TSG 1899 Hoffenheim, team2=RB Leipzig, result=1:03, watchers=23127, stadium=NULL)
265. Matches(date=5:11:2022, team1=FC Augsburg, team2=Eintracht Frankfurt, result=1:02, watchers=30087, stadium=NULL)
266. Matches(date=5:11:2022, team1=Borussia Dortmund, team2=VfL Bochum, result=3:00, watchers=81365, stadium=NULL)
267. Matches(date=5:11:2022, team1=1. FSV Mainz 05, team2=VfL Wolfsburg, result=0:03, watchers=26750, stadium=NULL)
268. Matches(date=5:11:2022, team1=Werder Bremen, team2=FC Schalke 04, result=2:01, watchers=41000, stadium=NULL)
269. Matches(date=6:11:2022, team1=Bayer 04 Leverkusen, team2=1. FC Union Berlin, result=5:00, watchers=30210, stadium=NULL)
270. Matches(date=6:11:2022, team1=Freiburg, team2=1. FC Cologne, result=2:00, watchers=33800, stadium=NULL)
271. Matches(date=8:11:2022, team1=VfL Wolfsburg, team2=Borussia Dortmund, result=2:00, watchers=28675, stadium=NULL)
272. Matches(date=8:11:2022, team1=Stuttgart, team2=Hertha BSC, result=2:01, watchers=44500, stadium=NULL)
273. Matches(date=8:11:2022, team1=VfL Bochum, team2=Borussia Monchengladbach, result=2:01, watchers=25900, stadium=NULL)
274. Matches(date=8:11:2022, team1=FC Bayern Munich, team2=Werder Bremen, result=6:01, watchers=75000, stadium=NULL)
275. Matches(date=9:11:2022, team1=1. FC Cologne, team2=Bayer 04 Leverkusen, result=1:02, watchers=50000, stadium=NULL)
276. Matches(date=9:11:2022, team1=RB Leipzig, team2=Freiburg, result=3:01, watchers=41240, stadium=NULL)
277. Matches(date=9:11:2022, team1=FC Schalke 04, team2=1. FSV Mainz 05, result=1:00, watchers=58256, stadium=NULL)
278. Matches(date=9:11:2022, team1=1. FC Union Berlin, team2=FC Augsburg, result=2:02, watchers=22012, stadium=NULL)
279. Matches(date=9:11:2022, team1=Eintracht Frankfurt, team2=TSG 1899 Hoffenheim, result=4:02, watchers=49000, stadium=NULL)
280. Matches(date=11:11:2022, team1=Borussia Monchengladbach, team2=Borussia Dortmund, result=4:02, watchers=54042, stadium=Borussia-Park)
281. Matches(date=12:11:2022, team1=TSG 1899 Hoffenheim, team2=VfL Wolfsburg, result=1:02, watchers=18014, stadium=PreZero Arena)
282. Matches(date=12:11:2022, team1=FC Augsburg, team2=VfL Bochum, result=0:01, watchers=28011, stadium=WWK Arena)
283. Matches(date=12:11:2022, team1=Hertha BSC, team2=1. FC Cologne, result=2:00, watchers=60827, stadium=Olympiastadion Berlin)
284. Matches(date=12:11:2022, team1=Werder Bremen, team2=RB Leipzig, result=1:02, watchers=41500, stadium=Weser-Stadion)
285. Matches(date=12:11:2022, team1=Bayer 04 Leverkusen, team2=Stuttgart, result=2:00, watchers=30210, stadium=BayArena)
286. Matches(date=12:11:2022, team1=FC Schalke 04, team2=FC Bayern Munich, result=0:02, watchers=62271, stadium=Veltins-Arena)
287. Matches(date=13:11:2022, team1=1. FSV Mainz 05, team2=Eintracht Frankfurt, result=1:01, watchers=33305, stadium=Mewa Arena)
288. Matches(date=13:11:2022, team1=Freiburg, team2=1. FC Union Berlin, result=4:01, watchers=33800, stadium=NULL)
