1. Matches(date=7:1:2022, team1=FC Bayern Munich, team2=Borussia Monchengladbach, result=1:02, watchers=NULL, stadium=NULL)
51. Matches(date=19:2:2022, team1=1. FC Cologne, team2=Eintracht Frankfurt, result=1:00, watchers=10000, stadium=NULL)
52. Matches(date=20:2:2022, team1=FC Bayern Munich, team2=SpVgg Greuther Fürth, result=4:01, watchers=25000, stadium=NULL)
53. Matches(date=20:2:2022, team1=Borussia Dortmund, team2=Borussia Monchengladbach, result=6:00, watchers=10000, stadium=NULL)
54. Matches(date=20:2:2022, team1=Hertha BSC, team2=RB Leipzig, result=1:06, watchers=10000, stadium=NULL)
55. Matches(date=25:2:2022, team1=TSG 1899 Hoffenheim, team2=Stuttgart, result=2:01, watchers=18099, stadium=NULL)
56. Matches(date=26:2:2022, team1=1. FC Union Berlin, team2=1. FSV Mainz 05, result=3:01, watchers=10000, stadium=NULL)
57. Matches(date=26:2:2022, team1=Borussia Monchengladbach, team2=VfL Wolfsburg, result=2:02, watchers=10000, stadium=NULL)
58. Matches(date=26:2:2022, team1=SpVgg Greuther Fürth, team2=1. FC Cologne, result=1:01, watchers=9200, stadium=NULL)
59. Matches(date=26:2:2022, team1=Freiburg, team2=Hertha BSC, result=3:00, watchers=25000, stadium=NULL)
60. Matches(date=26:2:2022, team1=Bayer 04 Leverkusen, team2=Arminia Bielefeld, result=3:00, watchers=10000, stadium=NULL)
61. Matches(date=26:2:2022, team1=Eintracht Frankfurt, team2=FC Bayern Munich, result=0:01, watchers=25000, stadium=NULL)
62. Matches(date=27:2:2022, team1=VfL Bochum, team2=RB Leipzig, result=0:01, watchers=10000, stadium=NULL)
63. Matches(date=27:2:2022, team1=FC Augsburg, team2=Borussia Dortmund, result=1:01, watchers=15330, stadium=NULL)
64. Matches(date=4:3:2022, team1=Arminia Bielefeld, team2=FC Augsburg, result=0:01, watchers=19460, stadium=NULL)
65. Matches(date=5:3:2022, team1=VfL Bochum, team2=SpVgg Greuther Fürth, result=2:01, watchers=19800, stadium=NULL)
66. Matches(date=5:3:2022, team1=RB Leipzig, team2=Freiburg, result=1:01, watchers=24758, stadium=NULL)
67. Matches(date=5:3:2022, team1=FC Bayern Munich, team2=Bayer 04 Leverkusen, result=1:01, watchers=25000, stadium=NULL)
68. Matches(date=5:3:2022, team1=Hertha BSC, team2=Eintracht Frankfurt, result=1:04, watchers=25000, stadium=NULL)
69. Matches(date=5:3:2022, team1=VfL Wolfsburg, team2=1. FC Union Berlin, result=1:00, watchers=15703, stadium=NULL)
70. Matches(date=5:3:2022, team1=Stuttgart, team2=Borussia Monchengladbach, result=3:02, watchers=25000, stadium=NULL)
